	Socioeconomic Score	Study Hours	Sleep Hours	Attendance (%)	Grades	Sleep + Study	Pass/Fail	Grades Percentile	Ranked Percentile	Percentile Number
1336	0.99982	7.1	9.0	48.0	74.0	16.1	Pass	34	99	34
37	0.99789	9.5	7.1	41.0	88.0	16.6	Pass	34	99	34
73	0.9499	8.1	8.5	84.0	70.0	16.6	Pass	34	99	34
1034	0.94074	8.6	7.7	81.0	73.0	16.3	Pass	34	99	34
1086	0.98429	8.7	5.9	86.0	78.0	14.6	Pass	34	99	34
1161	0.99505	6.4	7.3	67.0	70.0	13.7	Pass	34	99	34
518	0.94391	9.7	6.8	81.0	76.0	16.5	Pass	34	99	34
456	0.95218	7.9	8.4	58.0	72.0	16.3	Pass	34	99	34
556	0.99361	9.9	6.6	57.0	91.0	16.5	Pass	34	100	34
267	0.88278	9.2	5.2	45.0	70.0	14.399999999999999	Pass	34	99	34
823	0.98776	7.1	7.5	60.0	73.0	14.6	Pass	34	99	34
843	0.99599	7.6	8.9	68.0	77.0	16.5	Pass	34	99	34
925	0.99033	8.1	8.2	74.0	80.0	16.299999999999997	Pass	34	99	34
968	0.97232	7.7	7.7	83.0	70.0	15.4	Pass	34	99	34
1211	0.89161	9.0	8.0	85.0	68.0	17.0	Pass	33	98	33
223	0.86138	9.7	6.1	89.0	67.0	15.799999999999999	Pass	33	98	33
991	0.90465	7.8	8.9	63.0	67.0	16.7	Pass	33	98	33
830	0.90524	9.2	7.5	99.0	67.0	16.7	Pass	33	98	33
433	0.88872	9.0	7.8	87.0	67.0	16.8	Pass	33	98	33
274	0.94157	7.1	9.2	68.0	66.0	16.299999999999997	Pass	33	98	33
218	0.132	10.0	6.2	48.0	66.0	16.2	Pass	33	98	33
633	0.96688	7.5	5.9	69.0	67.0	13.4	Pass	33	98	33
1177	0.92397	7.9	8.0	61.0	69.0	15.9	Pass	33	98	33
63	0.99555	5.7	7.9	78.0	66.0	13.600000000000001	Pass	33	98	33
1007	0.99402	6.2	8.4	66.0	67.0	14.600000000000001	Pass	33	98	33
1090	0.99528	6.0	9.4	70.0	67.0	15.4	Pass	33	98	33
1063	0.33131	9.8	5.1	83.0	65.0	14.9	Pass	32	98	32
1132	0.58817	9.8	6.2	62.0	65.0	16.0	Pass	32	98	32
1225	0.82835	8.5	8.4	73.0	64.0	16.9	Pass	32	97	32
22	0.66286	9.8	6.2	78.0	64.0	16.0	Pass	32	97	32
105	0.86498	8.3	8.2	59.0	64.0	16.5	Pass	32	97	32
295	0.20098	9.7	7.1	90.0	64.0	16.799999999999997	Pass	32	97	32
245	0.98926	5.8	10.0	68.0	64.0	15.8	Pass	32	97	32
367	0.94017	6.9	9.1	49.0	65.0	16.0	Pass	32	98	32
902	0.62063	9.5	5.7	58.0	64.0	15.2	Pass	32	97	32
726	0.29328	9.6	7.0	85.0	64.0	16.6	Pass	32	97	32
209	0.58595	9.3	6.8	59.0	62.0	16.1	Pass	31	96	31
183	0.93871	6.3	10.0	61.0	62.0	16.3	Pass	31	96	31
384	0.46981	9.7	5.0	70.0	63.0	14.7	Pass	31	97	31
630	0.57916	9.6	6.2	83.0	63.0	15.8	Pass	31	97	31
563	0.48365	9.5	6.0	74.0	63.0	15.5	Pass	31	97	31
834	0.5588	9.2	5.7	72.0	62.0	14.899999999999999	Pass	31	96	31
934	0.8595	8.9	6.8	78.0	63.0	15.7	Pass	31	97	31
960	0.13645	9.3	7.4	86.0	63.0	16.700000000000003	Pass	31	97	31
901	0.96542	5.7	8.9	67.0	62.0	14.600000000000001	Pass	31	96	31
394	0.2202	9.1	5.0	65.0	62.0	14.1	Pass	31	96	31
182	0.93454	6.6	9.1	57.0	62.0	15.7	Pass	31	96	31
1291	0.16174	9.4	6.6	67.0	62.0	16.0	Pass	31	96	31
1095	0.99183	5.3	7.7	57.0	63.0	13.0	Pass	31	97	31
1210	0.9606	6.1	5.4	45.0	62.0	11.5	Pass	31	96	31
1055	0.88066	8.8	5.4	64.0	63.0	14.200000000000001	Pass	31	97	31
1013	0.60562	9.3	5.5	83.0	63.0	14.8	Pass	31	97	31
1368	0.86388	7.4	9.6	48.0	62.0	17.0	Pass	31	96	31
191	0.89883	7.7	8.3	64.0	63.0	16.0	Pass	31	97	31
463	0.54946	8.9	7.2	83.0	61.0	16.1	Pass	30	95	30
662	0.63393	9.3	5.3	72.0	61.0	14.600000000000001	Pass	30	95	30
872	0.79123	8.8	5.9	92.0	61.0	14.700000000000001	Pass	30	95	30
331	0.95116	5.8	9.0	53.0	61.0	14.8	Pass	30	95	30
375	0.79004	7.8	9.0	47.0	61.0	16.8	Pass	30	95	30
149	0.77209	8.8	6.8	69.0	61.0	15.600000000000001	Pass	30	95	30
1077	0.86712	8.1	8.2	93.0	61.0	16.299999999999997	Pass	30	95	30
49	0.56987	9.0	7.3	74.0	61.0	16.3	Pass	30	95	30
979	0.90757	6.9	7.1	53.0	61.0	14.0	Pass	30	95	30
848	0.92439	7.2	7.4	76.0	61.0	14.600000000000001	Pass	30	95	30
689	0.83332	8.7	5.2	81.0	60.0	13.899999999999999	Pass	29	95	29
732	0.97201	5.4	7.7	41.0	60.0	13.100000000000001	Pass	29	95	29
51	0.5882	8.8	5.1	72.0	60.0	13.9	Pass	29	95	29
1273	0.76455	8.4	7.0	52.0	60.0	15.4	Pass	29	95	29
1105	0.58234	8.8	5.8	65.0	60.0	14.600000000000001	Pass	29	95	29
50	0.39782	8.9	6.4	84.0	60.0	15.3	Pass	29	95	29
132	0.93925	6.0	9.8	51.0	60.0	15.8	Pass	29	95	29
11	0.34816	9.1	7.7	80.0	60.0	16.8	Pass	29	95	29
1375	0.79582	7.9	8.4	51.0	60.0	16.3	Pass	29	95	29
159	0.38537	8.7	5.9	72.0	60.0	14.6	Pass	29	95	29
648	0.9061	7.0	8.2	59.0	60.0	15.2	Pass	29	95	29
1004	0.91536	6.3	6.7	45.0	59.0	13.0	Pass	28	94	28
1354	0.14612	8.8	7.6	93.0	59.0	16.4	Pass	28	94	28
1307	0.56168	8.9	7.0	86.0	59.0	15.9	Pass	28	94	28
1170	0.93937	6.3	7.8	56.0	59.0	14.1	Pass	28	94	28
328	0.93699	6.1	8.5	57.0	59.0	14.6	Pass	28	94	28
233	0.75988	7.6	8.6	46.0	59.0	16.2	Pass	28	94	28
841	0.77791	8.4	8.4	93.0	59.0	16.8	Pass	28	94	28
992	0.58983	8.6	8.2	88.0	59.0	16.799999999999997	Pass	28	94	28
695	0.23753	8.8	8.2	80.0	59.0	17.0	Pass	28	94	28
141	0.53531	8.8	6.7	61.0	59.0	15.5	Pass	28	94	28
786	0.83476	8.3	7.2	98.0	59.0	15.5	Pass	28	94	28
224	0.86746	6.5	8.8	40.0	59.0	15.3	Pass	28	94	28
352	0.90023	8.0	5.5	84.0	59.0	13.5	Pass	28	94	28
1232	0.97366	4.8	8.7	66.0	58.0	13.5	Pass	27	93	27
1140	0.88809	6.7	9.4	61.0	58.0	16.1	Pass	27	93	27
1050	0.9842	4.6	9.1	44.0	58.0	13.7	Pass	27	93	27
74	0.74427	8.6	7.4	100.0	58.0	16.0	Pass	27	93	27
43	0.74132	8.4	7.5	80.0	58.0	15.9	Pass	27	93	27
1296	0.24446	8.6	6.0	95.0	58.0	14.6	Pass	27	93	27
412	0.69492	8.2	8.5	83.0	58.0	16.7	Pass	27	93	27
1203	0.88162	6.4	7.8	45.0	58.0	14.2	Pass	27	93	27
749	0.15699	8.8	6.0	70.0	58.0	14.8	Pass	27	93	27
842	0.48282	8.6	6.2	93.0	58.0	14.8	Pass	27	93	27
598	0.65674	8.8	5.4	98.0	58.0	14.200000000000001	Pass	27	93	27
572	0.8883	7.9	5.7	79.0	58.0	13.600000000000001	Pass	27	93	27
862	0.90389	6.5	9.4	67.0	58.0	15.9	Pass	27	93	27
1242	0.21867	8.4	8.0	96.0	58.0	16.4	Pass	27	93	27
1274	0.79679	8.2	5.9	75.0	58.0	14.1	Pass	27	93	27
640	0.79231	8.3	5.9	79.0	58.0	14.200000000000001	Pass	27	93	27
887	0.79838	7.4	9.3	53.0	57.0	16.700000000000003	Pass	26	92	26
942	0.84657	6.7	9.4	47.0	57.0	16.1	Pass	26	92	26
134	0.97759	5.0	8.3	75.0	57.0	13.3	Pass	26	92	26
759	0.37796	8.3	8.3	65.0	57.0	16.6	Pass	26	92	26
155	0.87604	6.2	9.9	47.0	57.0	16.1	Pass	26	92	26
110	0.84244	6.6	8.5	51.0	57.0	15.1	Pass	26	92	26
680	0.83749	7.2	9.7	63.0	57.0	16.9	Pass	26	92	26
1309	0.92893	5.4	8.2	46.0	57.0	13.6	Pass	26	92	26
65	0.89689	6.2	8.2	46.0	57.0	14.399999999999999	Pass	26	92	26
1111	0.56451	8.8	5.5	89.0	57.0	14.3	Pass	26	92	26
1267	0.75877	8.2	7.0	94.0	57.0	15.2	Pass	26	92	26
222	0.24784	8.4	5.4	86.0	57.0	13.8	Pass	26	92	26
1332	0.79186	8.3	7.0	95.0	57.0	15.3	Pass	26	92	26
1212	0.62204	8.4	5.8	65.0	56.0	14.2	Pass	25	91	25
1026	0.912	6.8	6.2	59.0	56.0	13.0	Pass	25	91	25
388	0.52521	8.3	6.2	83.0	56.0	14.5	Pass	25	91	25
371	0.53372	8.3	6.1	68.0	56.0	14.4	Pass	25	91	25
437	0.87541	7.0	8.5	75.0	56.0	15.5	Pass	25	91	25
985	0.68971	8.4	8.4	98.0	56.0	16.8	Pass	25	91	25
807	0.5214	8.3	6.6	60.0	56.0	14.9	Pass	25	91	25
697	0.16626	8.2	5.8	73.0	56.0	14.0	Pass	25	91	25
845	0.87006	6.7	9.5	55.0	56.0	16.2	Pass	25	91	25
822	0.73135	8.3	6.1	57.0	56.0	14.4	Pass	25	91	25
678	0.33893	8.2	5.2	90.0	56.0	13.399999999999999	Pass	25	91	25
889	0.21387	8.3	7.0	87.0	56.0	15.3	Pass	25	91	25
690	0.32033	8.1	6.2	46.0	55.0	14.3	Pass	24	90	24
